"Condition","AnalysisGroup"
"GTEX.TMMY.0826.SM.33HB9","ELI",3
"GTEX.PLZ4.1226.SM.2I5FE","ELI",3
"GTEX.YFC4.2626.SM.5P9FQ","ELI",3
"GTEX.11NV4.0626.SM.5N9BR","ELI",3
"GTEX.14ABY.0926.SM.5Q5DY","ELI",3
"GTEX.YJ89.0726.SM.5P9F7","ELI",3
"GTEX.ZYY3.1926.SM.5GZXS","ELI",3
"GTEX.11XUK.0226.SM.5EQLW","ELI",3
"GTEX.14BMU.0226.SM.5S2QA","ELI",3
"GTEX.13NZ9.1126.SM.5MR37","ELI",3
"GTEX.XBEW.0126.SM.4AT66","NIT",1
"GTEX.13O3O.0926.SM.5KM1F","NIT",1
"GTEX.13PDP.1026.SM.5L3FA","NIT",1
"GTEX.ZDYS.0626.SM.5J2N5","NIT",1
"GTEX.139T6.0326.SM.5J2LY","NIT",1
"GTEX.13VXU.0826.SM.5KLZ2","NIT",1
"GTEX.OIZG.0226.SM.2TC5L","NIT",1
"GTEX.11EMC.0226.SM.5EGLP","NIT",1
"GTEX.ZXG5.0926.SM.5NQ8H","NIT",1
"GTEX.13113.0126.SM.5LZVX","NIT",1
"GTEX.131XF.1826.SM.5EGKG","SFI",2
"GTEX.13O1R.0826.SM.5J2MB","SFI",2
"GTEX.TKQ1.0126.SM.33HB3","SFI",2
"GTEX.WYVS.0326.SM.3NM9V","SFI",2
"GTEX.13FXS.0726.SM.5LZXJ","SFI",2
"GTEX.11EQ9.0626.SM.5A5K1","SFI",2
"GTEX.131YS.0726.SM.5P9G9","SFI",2
"GTEX.RM2N.0526.SM.2TF4N","SFI",2
"GTEX.12ZZY.0826.SM.5EQMT","SFI",2
"GTEX.TSE9.0626.SM.3DB8B","SFI",2
