"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000187642",60.9645837819967,1.23285115029646,0.327036735752617,3.76976350213155,0.000163402311028933,0.00263925384344053,"PERM1",84808,"PERM1"
"ENSG00000223823",12.5616372477672,2.97160075589246,0.569290252329581,5.21983424752564,1.79083334629692e-07,6.85197746766602e-06,"LINC01342",254099,"LINC01342"
"ENSG00000272141",326.694118391935,-0.922884823012818,0.286980324334587,-3.2158470276758,0.00130060139676496,0.0147118718790393,"RP11-465B22.8",NA,"RP11-465B22.8"
"ENSG00000186891",205.856561625385,2.97125628908517,0.552982890304727,5.37314325846109,7.73758053802518e-08,3.2487657232682e-06,"TNFRSF18",8784,"TNFRSF18"
"ENSG00000169962",246.739025012823,1.84990972072995,0.362455130333994,5.10383097357541,3.32845588512446e-07,1.18275086073855e-05,"TAS1R3",83756,"TAS1R3"
"ENSG00000235098",468.833974357679,1.36587776040438,0.346525470389201,3.94163741808155,8.09272484821886e-05,0.0014632590388689,"ANKRD65",441869,"ANKRD65"
"ENSG00000149527",1342.04146610037,1.08268903489289,0.44168220276327,2.45128517318408,0.0142347128022206,0.0908052713655273,"PLCH2",9651,"PLCH2"
"ENSG00000272449",111.139630616093,0.996394827121199,0.288868927381619,3.44929735486878,0.000562047410041099,0.00747600369087598,"RP3-395M20.12",NA,"RP3-395M20.12"
"ENSG00000238164",971.279062015245,1.0367348551901,0.322092765261474,3.21874617192498,0.00128752401568735,0.014600174605751,"RP3-395M20.8",NA,"RP3-395M20.8"
"ENSG00000225931",16.0976760954641,1.56402178106663,0.467301366457365,3.34692319203677,0.000817138479531758,0.0101379816803493,"RP3-395M20.7",NA,"RP3-395M20.7"
"ENSG00000228037",37.866382915599,2.04729532316272,0.481795162991661,4.24930651119499,2.14433338548695e-05,0.000466110277457956,"RP3-395M20.9",NA,"RP3-395M20.9"
"ENSG00000142611",3446.18367947658,-0.566449294249929,0.178523883860431,-3.17296084983663,0.0015089287038691,0.0165919762027785,"PRDM16",63976,"PRDM16"
"ENSG00000130762",2117.0133218793,-0.594520975839123,0.147252809598595,-4.03741685784987,5.40429886449234e-05,0.00102466534026114,"ARHGEF16",27237,"ARHGEF16"
"ENSG00000078900",145.138394087998,1.38367384773204,0.307627449385588,4.49788811270123,6.8631797358046e-06,0.000172037757556579,"TP73",7161,"TP73"
"ENSG00000169598",798.69334710415,0.619030232415723,0.196016145034459,3.1580573748499,0.0015882429564171,0.0172784378794297,"DFFB",1677,"DFFB"
"ENSG00000069424",2543.53349337094,1.70727906339237,0.381571982278832,4.47433025138826,7.66511924775541e-06,0.000189754813961113,"KCNAB2",8514,"KCNAB2"
"ENSG00000187017",28.3660654306101,1.81422606936656,0.46232891351137,3.92410255198531,8.70536487862551e-05,0.00155565859477155,"ESPN",83715,"ESPN"
"ENSG00000215788",1069.38717181151,1.22309891865767,0.366819218269487,3.33433707325309,0.000855029746603875,0.010481751522908,"TNFRSF25",8718,"TNFRSF25"
