"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000142615",10.4877695225572,3.33098855145858,0.948118757457449,3.51326089190686,0.000442642615413926,0.0648997222533413,"CELA2A",63036,"CELA2A"
"ENSG00000219073",15.958225241787,4.00396851540276,1.20736994776649,3.31627312971445,0.00091226623120789,0.0984135009910366,"CELA3B",23436,"CELA3B"
"ENSG00000182866",1392.46368872386,1.76846019043153,0.494198845904152,3.5784385275042,0.000345653143072494,0.0576914661060242,"LCK",3932,"LCK"
"ENSG00000116985",723.915943213422,-0.53763322445644,0.145518496428906,-3.69460403763246,0.000220229709037268,0.0467386373347053,"BMP8B",656,"BMP8B"
"ENSG00000235927",54.1387716229701,-0.727986469172763,0.215886439074323,-3.37208058224602,0.000746026174309748,0.0885221313822366,"NEXN-AS1",374987,"NEXN-AS1"
"ENSG00000116748",65.4905169099813,2.20562171701081,0.591926768376248,3.72617329515472,0.000194408769898868,0.0448627820484883,"AMPD1",270,"AMPD1"
"ENSG00000187862",114.272617882067,3.13221581564879,0.720543348102062,4.34701926525193,1.3800010238214e-05,0.0101729075472701,"TTC24",164118,"TTC24"
"ENSG00000143297",1995.65586169135,3.41448322592116,0.742088517913996,4.6011805108092,4.20103153088438e-06,0.0062907126538239,"FCRL5",83416,"FCRL5"
"ENSG00000160856",1031.48227321423,3.17505611663059,0.813078535074837,3.90498085936847,9.42328432114732e-05,0.0316550783942541,"FCRL3",115352,"FCRL3"
"ENSG00000132704",797.291808556042,3.31958134209994,0.93004638654274,3.56926427555922,0.000357985163293618,0.0587809766972863,"FCRL2",79368,"FCRL2"
"ENSG00000163534",1104.37449427524,3.26488679272105,0.965701952137324,3.38084311157815,0.000722637907044026,0.0867754062313772,"FCRL1",115350,"FCRL1"
"ENSG00000117090",375.266282219395,1.8861042821825,0.509784721025412,3.69980543628038,0.000215764820123208,0.0467386373347053,"SLAMF1",6504,"SLAMF1"
"ENSG00000117091",733.403756035233,1.83839501258153,0.520495512778033,3.53200934004118,0.000412414788651553,0.0625409352070566,"CD48",962,"CD48"
"ENSG00000026751",914.10573894722,2.49206518529043,0.570125818786692,4.37107933577521,1.23633856700475e-05,0.00964998614446236,"SLAMF7",57823,"SLAMF7"
"ENSG00000122224",569.763948565638,2.00128271068767,0.560847366383073,3.56831970807677,0.000359277947349136,0.0587809766972863,"LY9",4063,"LY9"
"ENSG00000179914",20.0272523179086,-3.73724370052615,0.717457555327739,-5.20901016760352,1.89850710924652e-07,0.0012595645416296,"ITLN1",55600,"ITLN1"
"ENSG00000143851",1209.63916068571,1.92138773694191,0.518136242675261,3.70826739897856,0.000208682226803827,0.0465378902094113,"PTPN7",5778,"PTPN7"
"ENSG00000122188",293.074296850339,2.0533681239327,0.563907312904902,3.64132203456453,0.000271241594966261,0.050262009074462,"LAX1",54900,"LAX1"
"ENSG00000162897",92.2959369278514,21.7705908876933,1.96663144365658,11.0699902403752,1.75419712661323e-28,4.65528833460619e-24,"FCAMR",83953,"FCAMR"
"ENSG00000117322",1169.18334894581,3.9210954888636,1.02969555616252,3.80801438385999,0.000140087126499414,0.0371763216304146,"CR2",1380,"CR2"
"ENSG00000009790",1708.62299783345,1.97370105907422,0.495954094232119,3.97960432634413,6.90300624535631e-05,0.0262266395569866,"TRAF3IP3",80342,"TRAF3IP3"
"ENSG00000233355",411.52143429911,2.66263225346304,0.660811185097177,4.02933896022277,5.59339179482412e-05,0.0235862655367544,"CHRM3-AS2",100506915,"CHRM3-AS2"
"ENSG00000234572",12.9167808667473,4.9938949549202,1.12221103815141,4.45004975458672,8.58503979299341e-06,0.00836492222735929,"AC007880.1",101927438,"AC007880.1"
"ENSG00000232613",18.6466700891672,2.61951126219989,0.785639476803583,3.3342408821633,0.000855325509814034,0.0948444727692716,"AC007386.4",NA,"AC007386.4"
"ENSG00000230006",930.105647724504,2.4282717901204,0.581967873450646,4.17251862327471,3.01250967579886e-05,0.0160785482484287,"ANKRD36BP2",645784,"ANKRD36BP2"
"ENSG00000231486",323.892079465399,3.95514092612713,0.989928512070519,3.99538035110699,6.45904715772958e-05,0.0255836109659444,NA,NA,NA
"ENSG00000211594",3271.45706083944,3.77728303573103,0.838142340991859,4.50673215155911,6.58336509065038e-06,0.00821746143053414,"IGKJ4",NA,"IGKJ4"
