"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000182866",1392.46368872386,3.92101020580863,0.493971779352239,7.93772107983654,2.05929776481581e-15,1.77600518041277e-12,"LCK",3932,"LCK"
"ENSG00000187862",114.272617882067,5.486917304558,0.718408323210732,7.63760263805925,2.21303608584811e-14,9.54297047289367e-12,"TTC24",164118,"TTC24"
"ENSG00000143297",1995.65586169135,6.40057784281476,0.741902505507294,8.62724926159698,6.28451134077522e-18,2.17859475856253e-14,"FCRL5",83416,"FCRL5"
"ENSG00000160856",1031.48227321423,6.11082335243663,0.812760925774958,7.51859883840999,5.53663819137799e-14,1.9526267363952e-11,"FCRL3",115352,"FCRL3"
"ENSG00000132704",797.291808556042,6.87640402825373,0.929492071051691,7.39802333168189,1.38226568747596e-13,4.00982709885073e-11,"FCRL2",79368,"FCRL2"
"ENSG00000163534",1104.37449427524,6.63058213452278,0.965364517147487,6.86847508557203,6.48918033876991e-12,9.36967170181665e-10,"FCRL1",115350,"FCRL1"
"ENSG00000117090",375.266282219395,3.73525135242416,0.509136361049104,7.33644586830819,2.19340466423031e-13,5.98218314834095e-11,"SLAMF1",6504,"SLAMF1"
"ENSG00000117091",733.403756035233,3.94767879849601,0.520099914495072,7.59023158526863,3.19334234388363e-14,1.24267749016252e-11,"CD48",962,"CD48"
"ENSG00000026751",914.10573894722,4.78050989992423,0.569801142856547,8.38978643664771,4.8702607722553e-17,9.14176595545098e-14,"SLAMF7",57823,"SLAMF7"
"ENSG00000122224",569.763948565638,4.26439941367936,0.560321317566376,7.61063211408908,2.72758592536391e-14,1.08796583597953e-11,"LY9",4063,"LY9"
"ENSG00000143851",1209.63916068571,4.02567824706169,0.517896852708449,7.77312745966415,7.65716220460941e-15,4.07233409915144e-12,"PTPN7",5778,"PTPN7"
"ENSG00000122188",293.074296850339,4.7888599781672,0.562485026922721,8.51375547606379,1.68388913180931e-17,3.85779988237841e-14,"LAX1",54900,"LAX1"
"ENSG00000117322",1169.18334894581,6.46064355884207,1.0295297885865,6.27533426469597,3.48883938211256e-10,3.01704240333908e-08,"CR2",1380,"CR2"
"ENSG00000009790",1708.62299783345,4.39456516896707,0.495731715265584,8.86480536475806,7.6637829868366e-19,6.1137828777489e-15,"TRAF3IP3",80342,"TRAF3IP3"
"ENSG00000233355",411.52143429911,5.24711385131885,0.660043220915661,7.94965190921841,1.87036304929215e-15,1.6578690250809e-12,"CHRM3-AS2",100506915,"CHRM3-AS2"
"ENSG00000234572",12.9167808667473,7.37474583284746,1.11010815158048,6.64326788551898,3.06803479055287e-11,3.56003600605608e-09,"AC007880.1",101927438,"AC007880.1"
"ENSG00000232613",18.6466700891672,5.6705618341499,0.765790495387985,7.40484749850145,1.31301269448511e-13,3.87946621120555e-11,"AC007386.4",NA,"AC007386.4"
"ENSG00000230006",930.105647724504,5.23515443996219,0.581514490878871,9.00262078086832,2.20392529673677e-19,3.51636281094352e-15,"ANKRD36BP2",645784,"ANKRD36BP2"
"ENSG00000231486",323.892079465399,6.40665441906873,0.989344767097303,6.47565402085826,9.4402134978418e-11,9.53282318721936e-09,NA,NA,NA
"ENSG00000211594",3271.45706083944,5.94637871827364,0.838086858099215,7.09518191439018,1.29181447341402e-12,2.42910653440026e-10,"IGKJ4",NA,"IGKJ4"
"ENSG00000197794",15.1968497865864,6.74507255626211,1.02701859314243,6.56762457982749,5.11242358013687e-11,5.62542884283336e-09,"IGKV7-3",NA,"IGKV7-3"
"ENSG00000243290",1064.58629461783,5.93147092948146,0.899476590136399,6.59435831296287,4.27099073488189e-11,4.81580616078025e-09,"IGKV1-12",NA,"IGKV1-12"
