"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000182866",1392.46368872386,1.76846019043153,0.494198845904152,3.5784385275042,0.000345653143072494,0.0576914661060242,"LCK",3932,"LCK"
"ENSG00000187862",114.272617882067,3.13221581564879,0.720543348102062,4.34701926525193,1.3800010238214e-05,0.0101729075472701,"TTC24",164118,"TTC24"
"ENSG00000143297",1995.65586169135,3.41448322592116,0.742088517913996,4.6011805108092,4.20103153088438e-06,0.0062907126538239,"FCRL5",83416,"FCRL5"
"ENSG00000160856",1031.48227321423,3.17505611663059,0.813078535074837,3.90498085936847,9.42328432114732e-05,0.0316550783942541,"FCRL3",115352,"FCRL3"
"ENSG00000132704",797.291808556042,3.31958134209994,0.93004638654274,3.56926427555922,0.000357985163293618,0.0587809766972863,"FCRL2",79368,"FCRL2"
"ENSG00000163534",1104.37449427524,3.26488679272105,0.965701952137324,3.38084311157815,0.000722637907044026,0.0867754062313772,"FCRL1",115350,"FCRL1"
"ENSG00000117090",375.266282219395,1.8861042821825,0.509784721025412,3.69980543628038,0.000215764820123208,0.0467386373347053,"SLAMF1",6504,"SLAMF1"
"ENSG00000117091",733.403756035233,1.83839501258153,0.520495512778033,3.53200934004118,0.000412414788651553,0.0625409352070566,"CD48",962,"CD48"
"ENSG00000026751",914.10573894722,2.49206518529043,0.570125818786692,4.37107933577521,1.23633856700475e-05,0.00964998614446236,"SLAMF7",57823,"SLAMF7"
"ENSG00000122224",569.763948565638,2.00128271068767,0.560847366383073,3.56831970807677,0.000359277947349136,0.0587809766972863,"LY9",4063,"LY9"
"ENSG00000143851",1209.63916068571,1.92138773694191,0.518136242675261,3.70826739897856,0.000208682226803827,0.0465378902094113,"PTPN7",5778,"PTPN7"
"ENSG00000122188",293.074296850339,2.0533681239327,0.563907312904902,3.64132203456453,0.000271241594966261,0.050262009074462,"LAX1",54900,"LAX1"
"ENSG00000117322",1169.18334894581,3.9210954888636,1.02969555616252,3.80801438385999,0.000140087126499414,0.0371763216304146,"CR2",1380,"CR2"
"ENSG00000009790",1708.62299783345,1.97370105907422,0.495954094232119,3.97960432634413,6.90300624535631e-05,0.0262266395569866,"TRAF3IP3",80342,"TRAF3IP3"
"ENSG00000233355",411.52143429911,2.66263225346304,0.660811185097177,4.02933896022277,5.59339179482412e-05,0.0235862655367544,"CHRM3-AS2",100506915,"CHRM3-AS2"
"ENSG00000234572",12.9167808667473,4.9938949549202,1.12221103815141,4.45004975458672,8.58503979299341e-06,0.00836492222735929,"AC007880.1",101927438,"AC007880.1"
"ENSG00000232613",18.6466700891672,2.61951126219989,0.785639476803583,3.3342408821633,0.000855325509814034,0.0948444727692716,"AC007386.4",NA,"AC007386.4"
"ENSG00000230006",930.105647724504,2.4282717901204,0.581967873450646,4.17251862327471,3.01250967579886e-05,0.0160785482484287,"ANKRD36BP2",645784,"ANKRD36BP2"
"ENSG00000231486",323.892079465399,3.95514092612713,0.989928512070519,3.99538035110699,6.45904715772958e-05,0.0255836109659444,NA,NA,NA
"ENSG00000211594",3271.45706083944,3.77728303573103,0.838142340991859,4.50673215155911,6.58336509065038e-06,0.00821746143053414,"IGKJ4",NA,"IGKJ4"
"ENSG00000197794",15.1968497865864,4.11520731390997,1.0404710699828,3.9551386219494,7.6490287794653e-05,0.0277131619132163,"IGKV7-3",NA,"IGKV7-3"
"ENSG00000243290",1064.58629461783,3.14939785240767,0.899726093203755,3.50039626081451,0.000464567017564661,0.0673698333996228,"IGKV1-12",NA,"IGKV1-12"
"ENSG00000254098",25.100633340133,3.53809130449203,0.901123808056025,3.92630987314017,8.6259016195577e-05,0.0300109774102887,"IGKV2-26",NA,"IGKV2-26"
"ENSG00000244116",1072.54525835778,3.93829584433802,0.858640733752812,4.58666318697127,4.50386390921147e-06,0.0062907126538239,"IGKV2-28",NA,"IGKV2-28"
"ENSG00000251039",272.354954696063,4.58506625275189,1.02703845746367,4.46435692785545,8.03095909645278e-06,0.00821746143053414,"IGKV2D-40",NA,"IGKV2D-40"
"ENSG00000242534",46.3126979850579,3.85200135810968,1.16357106024128,3.3104994527029,0.000931296343270977,0.0996562191843758,"IGKV2D-28",NA,"IGKV2D-28"
"ENSG00000224607",53.6888401413254,4.61864318113145,1.11589332217456,4.13896480008592,3.48876467521923e-05,0.0171453401761052,"IGKV1D-27",NA,"IGKV1D-27"
"ENSG00000270999",15.2394090129272,3.75927173054062,1.02428365236127,3.67014715296336,0.000242410877598117,0.0484322194406084,"IGKV1OR2-118",NA,"IGKV1OR2-118"
"ENSG00000272861",19.5234013355548,-0.843278731661635,0.245180404748505,-3.4394214028916,0.000582959030728011,0.0772188032468978,"RP11-332H14.1",NA,"RP11-332H14.1"
"ENSG00000257207",13.6053536429055,2.09500223304473,0.475400626302155,4.40681420498001,1.04902095327686e-05,0.00869966189314417,"AC108938.5",NA,"AC108938.5"
"ENSG00000178562",466.678269282652,1.95494312847366,0.566611426618219,3.45023597589905,0.000560096734324616,0.0758359547729932,"CD28",940,"CD28"
"ENSG00000188282",99.3429339376442,2.4837679649345,0.700557661893534,3.54541545976548,0.000391994707555619,0.061554766562787,"RUFY4",285180,"RUFY4"
"ENSG00000181847",615.981122201708,2.22461042157227,0.629033949258028,3.53655064912838,0.000405388760388978,0.0625189602540646,"TIGIT",201633,"TIGIT"
"ENSG00000250986",26.7348052729539,-1.34479982696226,0.390860284592289,-3.44061517625162,0.000580393357696755,0.0772188032468978,"AC141928.1",NA,"AC141928.1"
"ENSG00000174123",616.639659543796,3.33024287956871,0.803356303327959,4.14541202424497,3.39203218356577e-05,0.0171453401761052,"TLR10",81793,"TLR10"
"ENSG00000121895",237.093253833188,2.4399400306572,0.636795947791249,3.83158850039831,0.00012731855972736,0.0351956243546322,"TMEM156",80008,"TMEM156"
"ENSG00000168421",679.10570210434,1.93378892303021,0.522825402461606,3.69872793847697,0.00021668270714321,0.0467386373347053,"RHOH",399,"RHOH"
"ENSG00000035720",210.185689247578,2.7091381430954,0.678698713099867,3.99166536020346,6.56109140729931e-05,0.025605624083369,"STAP1",26228,"STAP1"
"ENSG00000151790",34.9558928819553,3.10413152262233,0.783557462721963,3.96158759287294,7.44530585494909e-05,0.0274421564970332,"TDO2",6999,"TDO2"
"ENSG00000249096",169.017587560524,2.29078136686039,0.597604030654627,3.83327629894166,0.000126447790645206,0.0351956243546322,"RP11-290F5.1",102723766,"RP11-290F5.1"
"ENSG00000175857",255.053965513897,2.57618075354433,0.648085768253439,3.97506144979394,7.03610865335472e-05,0.0262991903440461,"GAPT",202309,"GAPT"
"ENSG00000170476",1841.5894694622,3.63513605800952,0.766447201780496,4.74283949313784,2.10743241974619e-06,0.00446434012645918,"MZB1",51237,"MZB1"
"ENSG00000137265",1321.5503403501,1.99470259192582,0.573264271567789,3.47955156261634,0.000502253708176024,0.0712770529816862,"IRF4",3662,"IRF4"
"ENSG00000227507",1073.0513433631,3.14341067060233,0.780178440753163,4.02909194410418,5.5992717191029e-05,0.0235862655367544,"LTB",4050,"LTB"
"ENSG00000272288",132.304772609993,-0.712734380482211,0.20789878711867,-3.42827579881636,0.000607428026597746,0.0787231570614474,"RP11-140K17.3",101929243,"RP11-140K17.3"
"ENSG00000164483",240.966437990228,1.62390887874176,0.479747790598046,3.38492205814521,0.000711984682337011,0.0866236203889256,"SAMD3",154075,"SAMD3"
"ENSG00000223969",27.7584060355689,-1.20206528565035,0.341407497397506,-3.52091062678323,0.0004300675424256,0.0641187215780369,"AC002456.2",NA,"AC002456.2"
"ENSG00000211746",43.5869378051982,2.47810958503715,0.598229247233191,4.14240794227029,3.43678333795044e-05,0.0171453401761052,"TRBV19",NA,"TRBV19"
"ENSG00000211772",2958.33672970769,1.97325837256207,0.542382580878192,3.63813006193358,0.000274624738706647,0.050262009074462,"TRBC2",NA,"TRBC2"
"ENSG00000168081",85.6157870178075,2.54173034408583,0.700051132590993,3.63077813284654,0.000282568015380061,0.0510121768173881,"PNOC",5368,"PNOC"
"ENSG00000245164",1154.52966952595,2.19565258748249,0.586548582976989,3.74334309417064,0.000181588012199397,0.0430266309620321,"LINC00861",100130231,"LINC00861"
"ENSG00000182347",4.02867384179819,-2.24092805005908,0.655002338609927,-3.42125198333622,0.000623335495032305,0.0795292181113813,"PDSS1P1",NA,"PDSS1P1"
"ENSG00000178445",601.862576297678,-2.20347837583449,0.592971823279492,-3.71599170370006,0.000202408223668924,0.0459103370916744,"GLDC",2731,"GLDC"
"ENSG00000250850",18.981105482234,3.81359304609751,1.10740927962466,3.44370696206382,0.000573797243675578,0.0769062184477904,"RP11-297B17.3",NA,"RP11-297B17.3"
