"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000110680",1859.95118636689,-5.50074379830916,1.40658528202227,-3.91070763260131,9.20261119820814e-05,0.00162780112713316,"CALCA",796,"CALCA"
"ENSG00000170419",27.259262263549,-4.69072180195353,1.09327940827559,-4.29050594609854,1.78266512500508e-05,0.000397240531696314,"VSTM2A",222008,"VSTM2A"
"ENSG00000207636",1.6354972433903,-4.29746027101797,1.2419349563342,-3.46029415558342,0.000539585599491516,0.00723652280536081,NA,NA,NA
"ENSG00000174417",6.70810133732088,-4.12661933405412,1.35297514078132,-3.05003337435385,0.00228815937829094,0.0229318987943668,"TRHR",7201,"TRHR"
"ENSG00000230663",4.92062285734912,-4.11599495718322,1.48949000175694,-2.76335856724662,0.00572098800464205,0.0464875801446723,"FAM224B",NA,"FAM224B"
"ENSG00000228411",1.25643459785528,-3.87846343498403,1.40843902401984,-2.75373187538818,0.005892001627877,0.0474782252387765,"CDY4P",NA,"CDY4P"
"ENSG00000108688",2.04238388100493,-3.75927303274193,1.43019911938251,-2.62849625747567,0.00857632991721114,0.0631737730408447,"CCL7",6354,"CCL7"
"ENSG00000164796",2.37198700734711,-3.73404833517516,1.17605716106431,-3.1750568414514,0.00149807152750781,0.0164896386487666,"CSMD3",114788,"CSMD3"
"ENSG00000179914",20.0272523179086,-3.70489396456382,0.71560533543101,-5.17728667063719,2.2513614453089e-07,8.32312205931834e-06,"ITLN1",55600,"ITLN1"
"ENSG00000228036",2.1537455821482,-3.54121617212055,1.18966672180639,-2.97664556569555,0.00291420700885811,0.0275135284236974,"HSPD1P9",NA,"HSPD1P9"
"ENSG00000240975",6.24260745968002,-3.53610098045731,0.769272127851049,-4.59668412832707,4.29267632036203e-06,0.000113675768782367,"RP11-313M3.1",NA,"RP11-313M3.1"
"ENSG00000257849",0.857171685661586,-3.47521317177221,1.18329093745133,-2.93690508545381,0.0033150554815289,0.0304763527558592,"RP11-547C5.1",NA,"RP11-547C5.1"
"ENSG00000253301",3.62373322129384,-3.47387236149963,1.14099039732525,-3.04461139168498,0.00232981135292778,0.0232325875849767,"LINC01606",NA,"LINC01606"
"ENSG00000253147",1.1622259643467,-3.44578816180309,1.29422555533908,-2.66243248527133,0.00775781307292822,0.0582951516123573,"RP11-369E15.4",102467222,"RP11-369E15.4"
"ENSG00000149968",61.8252228931175,-3.38268017214705,1.15072681245715,-2.93960315821963,0.00328632854242902,0.0302558406777005,"MMP3",4314,"MMP3"
"ENSG00000133105",19.5493822234014,-3.34801032426317,0.752749520268663,-4.44770834668648,8.67912619304554e-06,0.000212385672408039,"RXFP2",122042,"RXFP2"
"ENSG00000157005",13.9099472833803,-3.33068969296424,1.09279602385911,-3.04786036940564,0.00230476992808404,0.023036477685137,"SST",6750,"SST"
"ENSG00000272197",1.09783711594939,-3.31797608219947,1.13465879594807,-2.92420602038969,0.00345336103080954,0.0314040326284219,"RN7SL803P",NA,"RN7SL803P"
"ENSG00000148123",1.27267657624276,-3.31690142470272,1.30269481229425,-2.54618456556309,0.0108907589330983,0.0748813009168641,"PLPPR1",54886,"PLPPR1"
"ENSG00000204437",4.32711315144089,-3.2912828198113,1.01967939370955,-3.22776241249491,0.00124762550199436,0.014266805310609,"CTSLP6",NA,"CTSLP6"
"ENSG00000233517",4.37665052271003,-3.19857650141418,1.00837653117112,-3.17200609349701,0.00151389830443983,0.0166328193478794,"AC005162.5",NA,"AC005162.5"
"ENSG00000248229",1.67139279265358,-3.18361251553102,1.32282373370336,-2.40667931366655,0.016098298922705,0.0993995198574913,"RP11-366M4.12",NA,"RP11-366M4.12"
"ENSG00000257786",1.30644424542703,-3.15442941750276,1.20857243534205,-2.61004580715098,0.00905300994205047,0.0654022067581686,"AKIRIN1P1",NA,"AKIRIN1P1"
"ENSG00000131808",1.16638146597671,-3.13902707583217,1.29751262896939,-2.41926514297244,0.015551899752268,0.0968881532789673,"FSHB",2488,"FSHB"
"ENSG00000250747",1.28794068554344,-3.0945151010311,1.18745854245842,-2.60599843311116,0.00916068807021109,0.0659561273286182,"RP11-232L2.1",NA,"RP11-232L2.1"
"ENSG00000257259",15.1270174818126,-3.07954141977783,1.01707384578741,-3.02784447022495,0.00246304817406693,0.0242383511286574,"RP11-767I20.1",101927653,"RP11-767I20.1"
"ENSG00000240621",1.97777065993707,-3.04101686475676,1.09346047352714,-2.78109445963552,0.00541759711799191,0.0446245544747346,"OR2AO1P",NA,"OR2AO1P"
"ENSG00000120332",268.61114027023,-3.02936505730327,0.51546759097206,-5.87692632933634,4.17954096556769e-09,2.48359687544255e-07,"TNN",63923,"TNN"
"ENSG00000089225",249.812275449959,-3.02856710836891,0.813954844707386,-3.7208048186723,0.000198588882378869,0.00313091464264315,"TBX5",6910,"TBX5"
"ENSG00000258467",2.00298754278859,-3.01766317474285,1.09923412580448,-2.74524153126556,0.00604663772483118,0.0484794496983324,"PHKBP2",NA,"PHKBP2"
"ENSG00000172867",220.633285654613,-2.96499322986263,0.86028659904376,-3.44651797803003,0.000567860780619179,0.00753761959632196,"KRT2",3849,"KRT2"
"ENSG00000079689",57.2559556470181,-2.95811073381946,0.709212705116211,-4.17097820227959,3.03294876238794e-05,0.000622388392333113,"SCGN",10590,"SCGN"
"ENSG00000253397",1.0009720530463,-2.89765086516885,1.16714942323744,-2.48267343279093,0.0130400572579177,0.0850415342530458,"RP11-597M17.1",NA,"RP11-597M17.1"
"ENSG00000210135",3.49562629052008,-2.86623912592647,1.05422193257784,-2.71881947942193,0.00655153528509751,0.0515178637130265,"MT-TN",NA,"MT-TN"
"ENSG00000267095",0.889946526481687,-2.86440472200453,1.13864278237407,-2.51563068448231,0.0118819617592105,0.079603905046485,"CTD-2319I12.5",NA,"CTD-2319I12.5"
"ENSG00000260761",5.70803420352788,-2.84128634047569,1.07970768880884,-2.63153293240901,0.008500062870047,0.0627137586550751,"RP11-184E9.2",NA,"RP11-184E9.2"
"ENSG00000255399",33.6400578897365,-2.83362913537847,0.730097196540687,-3.88116698544336,0.000103956428971188,0.00180089557463117,"TBX5-AS1",255480,"TBX5-AS1"
"ENSG00000178776",5.36554012711762,-2.80807142591168,0.879190046662167,-3.19392995470375,0.00140350166809579,0.0156671250346886,"C5orf46",389336,"C5orf46"
"ENSG00000263551",1.26896271965577,-2.79877743075475,0.939538288453029,-2.97888597532624,0.00289298412982014,0.0273850856074045,"RP11-78F17.1",NA,"RP11-78F17.1"
"ENSG00000228613",471.101169179655,-2.77047420077339,0.543642508029188,-5.09613240292211,3.46662717287061e-07,1.22232124957239e-05,"AC144450.1",NA,"AC144450.1"
"ENSG00000231997",0.986850675816499,-2.75135848995654,1.0784422042864,-2.55123406615666,0.0107342208186995,0.0741404732304545,NA,NA,NA
"ENSG00000259974",39.6743774947661,-2.74917741520308,0.764994013966537,-3.59372408804671,0.000325985035131353,0.00474985500960798,"LINC00261",140828,"LINC00261"
"ENSG00000234578",17.9650606979966,-2.73456142365201,0.529995440979692,-5.15959423839043,2.47485626981657e-07,9.04612412025737e-06,"RP4-784A16.1",NA,"RP4-784A16.1"
"ENSG00000177947",0.988827478480848,-2.73254478358639,0.997872593662586,-2.73837041015113,0.00617444890752754,0.0492936363870913,"ODF3",113746,"ODF3"
"ENSG00000223730",1.68780984262448,-2.70190285870747,0.991473684180603,-2.72513824806196,0.00642745677947788,0.0507940399080651,"RP1-127B20.4",NA,"RP1-127B20.4"
"ENSG00000198074",70.2318729536147,-2.66507710066476,0.878105152488196,-3.0350318445496,0.00240510291107128,0.0237679881982919,"AKR1B10",57016,"AKR1B10"
"ENSG00000265125",2.42317857683871,-2.63865139596954,1.02210414704263,-2.58158760396799,0.00983470273612759,0.0695689125049505,"RP11-31I22.3",NA,"RP11-31I22.3"
"ENSG00000227730",1.2587661109259,-2.61294587120715,1.07898821343296,-2.42166303456984,0.0154496690815101,0.0964589155319905,"MTND6P5",NA,"MTND6P5"
"ENSG00000266866",1.00103530026838,-2.59479839326944,0.914132920588766,-2.8385351132505,0.00453211326487244,0.0388032557773221,NA,NA,NA
"ENSG00000197632",7.10255047074746,-2.51602048439483,0.73924625136296,-3.40349441036191,0.00066529774599377,0.00858110391053404,"SERPINB2",5055,"SERPINB2"
"ENSG00000213943",2.8198922674078,-2.51108595972276,0.722761924551207,-3.47429198249756,0.000512203338526835,0.00693147096369437,"KRT18P17",NA,"KRT18P17"
"ENSG00000132437",5.71621295279231,-2.50444348943772,0.80774225608086,-3.10054781780168,0.0019316302208265,0.0201169452828243,"DDC",1644,"DDC"
"ENSG00000232563",7.8355202443665,-2.49916939397737,0.658368915033292,-3.79600150753015,0.000147048603898366,0.0024149876224379,"CRB3P1",NA,"CRB3P1"
"ENSG00000232762",5.20038849240484,-2.4758186666784,0.794320767254396,-3.1169003364172,0.00182763346615738,0.0192707678793601,"RP4-784A16.4",NA,"RP4-784A16.4"
"ENSG00000259129",13.117960308692,-2.46933849901065,0.980444359808943,-2.51859116155438,0.01178253785161,0.0791286412331222,"LINC00648",100506433,"LINC00648"
"ENSG00000244464",8.03370854363534,-2.46794965322188,0.87214718080434,-2.82973987365964,0.00465858635334987,0.0396421505538669,"RP11-201E8.1",NA,"RP11-201E8.1"
"ENSG00000204894",3.04808816176604,-2.4580555151675,0.916330405219305,-2.68249913040833,0.00730743417812917,0.0558248083849897,"RP11-208G20.2",NA,"RP11-208G20.2"
"ENSG00000262855",3.60782376756858,-2.44426698280623,0.837088865734097,-2.91996116883324,0.00350075003247096,0.0317445108087947,"RP11-46I8.4",NA,"RP11-46I8.4"
"ENSG00000185303",188.96886990138,-2.41334224199282,0.987400836444254,-2.44413631518031,0.0145199391978225,0.0921685418345961,"SFTPA2",729238,"SFTPA2"
"ENSG00000225383",38.058970449333,-2.39709146749548,0.635207894292476,-3.7737117076693,0.000160836610843557,0.00261318546436757,"SFTA1P",207107,"SFTA1P"
"ENSG00000251313",1.15082441491006,-2.38780142329021,0.99104139838007,-2.40938615399241,0.0159793806359931,0.0989524618852205,"RP11-747H12.5",NA,"RP11-747H12.5"
"ENSG00000006128",305.441156042024,-2.3801521510531,0.691607136113471,-3.44148003507961,0.000578541163549292,0.00764124525201072,"TAC1",6863,"TAC1"
"ENSG00000071203",5.5894893219932,-2.37612906851143,0.702160268426777,-3.38402666080105,0.000714310666467354,0.00910783609255303,"MS4A12",54860,"MS4A12"
"ENSG00000250033",36.5005606746583,-2.36546940897472,0.755742243063812,-3.12999495619697,0.00174809304581081,0.0186498325281922,"SLC7A11-AS1",641364,"SLC7A11-AS1"
"ENSG00000088836",14445.7404123614,-2.35425524426463,0.477758707603637,-4.92770766245832,8.3199976155007e-07,2.63907677843566e-05,"SLC4A11",83959,"SLC4A11"
"ENSG00000215007",2.19244055797409,-2.33831869715551,0.725541799819655,-3.22285869365037,0.00126918147893617,0.0144538119175065,"DNAJA1P3",NA,"DNAJA1P3"
"ENSG00000234405",1.44887490161897,-2.3360651567115,0.799968442522158,-2.92019663844026,0.00349810585481753,0.0317295502635666,"LL0XNC01-250H12.3",NA,"LL0XNC01-250H12.3"
"ENSG00000181092",181.232562127645,-2.30171635661417,0.93001571420657,-2.47492200556831,0.0133265275170953,0.086541420976767,"ADIPOQ",9370,"ADIPOQ"
"ENSG00000184811",136.448593559604,-2.27345464316149,0.811169455477238,-2.80268768481172,0.00506787193259926,0.0424681668864947,"TUSC5",286753,"TUSC5"
"ENSG00000251599",2.05363950922484,-2.27046026090896,0.862640723680718,-2.631988264154,0.00848867950551191,0.06265874693983,"RP11-232L2.2",105379030,"RP11-232L2.2"
"ENSG00000164821",8.67607243584118,-2.25924590582785,0.897975531920876,-2.51593259005071,0.0118717886862327,0.0795691613059618,"DEFA4",1669,"DEFA4"
"ENSG00000222317",2.13830333143565,-2.23992430797328,0.85754504962756,-2.61201940229974,0.0090009145725749,0.0651678611824873,"RNA5SP118",NA,"RNA5SP118"
