"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000162897",92.2959369278514,24.4871351672152,1.96539376524099,12.45914971355,1.2469298365594e-35,3.97895310846104e-31,"FCAMR",83953,"FCAMR"
"ENSG00000253818",102.314981777066,9.5750837406501,1.4514416201257,6.59694720606183,4.19710134178389e-11,4.74927318497603e-09,"IGLV1-41",NA,"IGLV1-41"
"ENSG00000271046",44.5119239590129,8.98676496929981,1.26032082970172,7.13053752466083,9.99777137946327e-13,2.0191701564473e-10,"RP11-138I18.2",NA,"RP11-138I18.2"
"ENSG00000170054",59.4935579030913,8.58039918898353,1.35892577912818,6.31410436152614,2.71730529950152e-10,2.41529838738422e-08,"SERPINA9",327657,"SERPINA9"
"ENSG00000211619",102.806977619304,8.55241498274706,1.58350586843007,5.40093671470012,6.62938119560879e-08,2.83570447656671e-06,NA,NA,NA
"ENSG00000254029",25.3604396658585,8.32832747392128,2.1891666612739,3.80433688364089,0.000142184568027104,0.00234961655398493,"IGLC4",NA,"IGLC4"
"ENSG00000242580",50.3074416948279,8.19545568017771,1.46668040057807,5.58775836709047,2.30019390466536e-08,1.10043759367124e-06,"IGKV1D-43",NA,"IGKV1D-43"
"ENSG00000181617",474.798350235593,7.94961077996071,1.4505432601794,5.48043688057776,4.24276862472861e-08,1.89087635216606e-06,"FDCSP",260436,"FDCSP"
"ENSG00000253441",16.7262670647936,7.90162891250276,1.33623623192627,5.91334729871234,3.35224306872116e-09,2.07306349462969e-07,"IGHV3-25",NA,"IGHV3-25"
"ENSG00000211640",1369.33515477591,7.76028316510692,1.06017440709889,7.31981748771176,2.48308438774846e-13,6.71484939093674e-11,"IGLV6-57",NA,"IGLV6-57"
"ENSG00000257275",35.7403470321627,7.7050838091541,1.560168680315,4.93862228255885,7.8676436469252e-07,2.51899285934472e-05,"RP11-164H13.1",NA,"RP11-164H13.1"
"ENSG00000235304",41.5856585961325,7.56680840602395,1.28497352107872,5.88868819621414,3.89273089294321e-09,2.34814825697198e-07,"LINC01281",286442,"LINC01281"
"ENSG00000254709",116.255474432666,7.55013461468994,1.06415806344017,7.09493718469053,1.29410250970869e-12,2.42910653440026e-10,"IGLL5",100423062,"IGLL5"
"ENSG00000234572",12.9167808667473,7.37474583284746,1.11010815158048,6.64326788551898,3.06803479055287e-11,3.56003600605608e-09,"AC007880.1",101927438,"AC007880.1"
"ENSG00000211672",31.5030571396021,7.33553947763329,1.23969685137144,5.91720424998919,3.27459948959947e-09,2.03292742632527e-07,"IGLV4-3",NA,"IGLV4-3"
"ENSG00000253239",38.6356661112847,7.3117708231613,1.35616343959483,5.39151153149047,6.98674747491526e-08,2.96078501891827e-06,"IGLVI-70",NA,"IGLVI-70"
"ENSG00000163518",35.8748891325771,7.29925706882825,1.0946851400811,6.66790550229582,2.59479758227414e-11,3.10112325282276e-09,"FCRL4",83417,"FCRL4"
"ENSG00000251039",272.354954696063,7.28674153777672,1.02623903910534,7.10043299866001,1.24366617817296e-12,2.39068600876501e-10,"IGKV2D-40",NA,"IGKV2D-40"
"ENSG00000265714",11.7749092461061,7.23234095133331,1.07313715431695,6.73943765924003,1.59000796173394e-11,1.98192008042696e-09,NA,NA,NA
"ENSG00000224607",53.6888401413254,7.22345226551218,1.11241145871871,6.49350760359142,8.38605315910928e-11,8.63222439700571e-09,"IGKV1D-27",NA,"IGKV1D-27"
