"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000110680",1859.95118636689,-7.03367118517906,1.40654814388169,-5.00066152429597,5.71339391206556e-07,0.000101904919848456,"CALCA",796,"CALCA"
"ENSG00000244155",7.95430826500001,-5.5216419699633,2.14849213528743,-2.57000799736444,0.0101696167257797,0.0825842051609673,"CYP4F34P",NA,"CYP4F34P"
"ENSG00000157005",13.9099472833803,-4.05843488427838,1.08960420046218,-3.72468726034362,0.000195557504633856,0.00526517471159703,"SST",6750,"SST"
"ENSG00000230663",4.92062285734912,-3.7011583219409,1.4913888933715,-2.48168558743514,0.013076259731953,0.0966350074442204,"FAM224B",NA,"FAM224B"
"ENSG00000200488",1.4960120761024,-3.66857179858625,1.44048820030725,-2.54675588304282,0.0108729464682965,0.0859624790623813,"RN7SKP203",NA,"RN7SKP203"
"ENSG00000233517",4.37665052271003,-3.59482686997562,1.00162323838308,-3.58900106568888,0.000331947484295915,0.00767836024611989,"AC005162.5",NA,"AC005162.5"
"ENSG00000204437",4.32711315144089,-3.30295810002064,1.01770270688786,-3.24550389584901,0.00117242960270685,0.019041851715274,"CTSLP6",NA,"CTSLP6"
"ENSG00000244464",8.03370854363534,-3.22373152559521,0.864780706991961,-3.72780231974484,0.000193156788121263,0.00522281843168434,"RP11-201E8.1",NA,"RP11-201E8.1"
"ENSG00000133105",19.5493822234014,-3.11864641625478,0.753030827896705,-4.14145915508597,3.45103334212094e-05,0.00150483350800467,"RXFP2",122042,"RXFP2"
"ENSG00000260761",5.70803420352788,-3.01218807056498,1.07687786434211,-2.79714921283595,0.00515557173568346,0.053168292563607,"RP11-184E9.2",NA,"RP11-184E9.2"
"ENSG00000254781",3.15598654327752,-2.99772247113845,1.18424257596813,-2.53134157812878,0.0113627133806675,0.0882128655737527,"GVINP2",NA,"GVINP2"
"ENSG00000006128",305.441156042024,-2.99123402351771,0.691402701762432,-4.32632677872513,1.51616447162393e-05,0.000853433415890521,"TAC1",6863,"TAC1"
"ENSG00000228036",2.1537455821482,-2.96822110043326,1.19845552071029,-2.47670526702073,0.0132601351570992,0.0974450438648284,"HSPD1P9",NA,"HSPD1P9"
"ENSG00000259129",13.117960308692,-2.94294925093442,0.977734137402295,-3.00996880271915,0.00261274524746345,0.0332569224471597,"LINC00648",100506433,"LINC00648"
"ENSG00000250033",36.5005606746583,-2.93668833684146,0.754263800846802,-3.89344992235406,9.88286112198889e-05,0.00322971028807778,"SLC7A11-AS1",641364,"SLC7A11-AS1"
"ENSG00000257259",15.1270174818126,-2.86536098106261,1.01729163894543,-2.81665637597588,0.00485264133564632,0.0510187863786265,"RP11-767I20.1",101927653,"RP11-767I20.1"
"ENSG00000149968",61.8252228931175,-2.84846562460556,1.15102229479449,-2.47472671683927,0.0133338161060725,0.0978650538593443,"MMP3",4314,"MMP3"
"ENSG00000100604",44.3349640771108,-2.82457696890241,0.830623781910332,-3.40054911792465,0.000672506526646482,0.0127966409003529,"CHGA",1113,"CHGA"
"ENSG00000228613",471.101169179655,-2.81060018303853,0.543601535340476,-5.17033157619424,2.33678998357891e-07,5.89091920374355e-05,"AC144450.1",NA,"AC144450.1"
"ENSG00000272626",4.50365531161911,-2.78805913483775,0.941642204733639,-2.96084767741098,0.00306793629939483,0.0371896580636242,"RP11-468N14.13",NA,"RP11-468N14.13"
"ENSG00000105388",32.3509711849941,-2.74433251524524,0.86335447408433,-3.17868569356274,0.00147944419921165,0.0224287679724825,"CEACAM5",1048,"CEACAM5"
"ENSG00000185040",1.81809699498539,-2.74389856915308,1.07530515801782,-2.55173942828573,0.0107186648927671,0.0854261723136068,"SPDYE16",102723555,"SPDYE16"
"ENSG00000151012",1223.12297989962,-2.73470721985052,0.627309150830515,-4.35942503983873,1.30404612549641e-05,0.000770662628417122,"SLC7A11",23657,"SLC7A11"
"ENSG00000210135",3.49562629052008,-2.67796399103662,1.05476047483661,-2.5389309278502,0.0111191773377205,0.0871866002688639,"MT-TN",NA,"MT-TN"
"ENSG00000259974",39.6743774947661,-2.66848994360587,0.764864484760299,-3.48884017597202,0.000485121112587221,0.0100937919195239,"LINC00261",140828,"LINC00261"
"ENSG00000169006",1.71606988517794,-2.65530960734258,1.02521437249597,-2.59000427479181,0.00959747401319904,0.0793953912894396,"NTSR2",23620,"NTSR2"
"ENSG00000222317",2.13830333143565,-2.64280447649038,0.84166861282208,-3.13995845422959,0.00168971795985799,0.0248160562279143,"RNA5SP118",NA,"RNA5SP118"
"ENSG00000137869",362.684251983561,-2.64128064225198,0.659263029593104,-4.00641401639369,6.16475524419775e-05,0.00227305197098639,"CYP19A1",1588,"CYP19A1"
"ENSG00000223730",1.68780984262448,-2.6351531576725,0.988995191123023,-2.66447519798376,0.00771085521835998,0.0690589664468776,"RP1-127B20.4",NA,"RP1-127B20.4"
"ENSG00000188000",25.3458374693957,-2.63322367352976,0.819521408423687,-3.21312371643182,0.00131299719069429,0.0206453642177783,"OR7D2",162998,"OR7D2"
"ENSG00000197978",1.79884467176578,-2.62176145510746,0.923753276373703,-2.83816200944854,0.00453741457551362,0.0487636191476614,"GOLGA6L9",440295,"GOLGA6L9"
"ENSG00000234578",17.9650606979966,-2.60684817023582,0.529857618176154,-4.91990316041688,8.65870419175416e-07,0.000133524434223676,"RP4-784A16.1",NA,"RP4-784A16.1"
"ENSG00000241717",5.35188881866454,-2.54539514840559,0.629263683210656,-4.04503742440429,5.23147662919556e-05,0.00201947275146313,"VWFP1",NA,"VWFP1"
"ENSG00000226148",2.30889913992739,-2.53610820604245,0.788499594369628,-3.21637223931607,0.00129822323107245,0.0205165161764992,"SLC25A39P1",NA,"SLC25A39P1"
"ENSG00000223838",3.37468719321099,-2.52375397195592,0.892181597767092,-2.82874470653984,0.00467309599907962,0.0498059850038695,"AC007091.1",NA,"AC007091.1"
"ENSG00000235090",3.94374503167978,-2.49495093138823,0.877353915356859,-2.8437223425092,0.0044589886291522,0.0481304175471886,"RPL7L1P3",NA,"RPL7L1P3"
"ENSG00000234754",2.63826679342193,-2.44621138576133,0.84068133157537,-2.90979624964114,0.00361664446969471,0.04181242071797,"C1orf140",400804,"C1orf140"
"ENSG00000177511",10.3321763977887,-2.4456048374469,0.82135720843379,-2.97751673977552,0.00290593775220628,0.0359244279613042,"ST8SIA3",51046,"ST8SIA3"
"ENSG00000213111",3.34380752361341,-2.36305974280924,0.91244200635493,-2.58981910779109,0.00960263767250349,0.0793953912894396,"COX5BP2",NA,"COX5BP2"
"ENSG00000176840",8.97950412014506,-2.35525000175284,0.875956106219571,-2.68877628117414,0.0071714463530155,0.0657790788419292,"MIR7-3HG",284424,"MIR7-3HG"
"ENSG00000181092",181.232562127645,-2.35168084345948,0.929949140106388,-2.52882737564599,0.0114444299891879,0.0886105342886702,"ADIPOQ",9370,"ADIPOQ"
"ENSG00000136244",278.481242729428,-2.33642186996018,0.582787844765606,-4.00904358411915,6.09651647590883e-05,0.00225350386789898,"IL6",3569,"IL6"
"ENSG00000264365",3.1892035632261,-2.33294719741325,0.779251126245105,-2.99383230750628,0.00275497317035469,0.0345486004353501,"RP11-621L6.2",NA,"RP11-621L6.2"
"ENSG00000187288",89.0400323073283,-2.31821185423017,0.863623214334775,-2.68428617451631,0.00726848609309706,0.066416800840099,"CIDEC",63924,"CIDEC"
"ENSG00000231546",2.5785191813092,-2.30464274942902,0.689638010129462,-3.34181514878564,0.000832324705495044,0.0149263899941231,"RPL3P5",NA,"RPL3P5"
"ENSG00000128564",21.489543397057,-2.29886791076276,0.736429030663703,-3.12164216107955,0.00179845393268858,0.0257386711065662,"VGF",7425,"VGF"
"ENSG00000226807",6.06978892371448,-2.26635454569196,0.680344975229573,-3.33118436705909,0.000864773070253392,0.0152867391422013,"MROH5",389690,"MROH5"
"ENSG00000240975",6.24260745968002,-2.24452548234858,0.783504569064305,-2.8647254540316,0.00417370928900206,0.0459387303452687,"RP11-313M3.1",NA,"RP11-313M3.1"
"ENSG00000223001",4.63012773715391,-2.24435523250087,0.885091705852933,-2.53573185429193,0.0112212619708716,0.0875465413527187,"RNU2-61P",NA,"RNU2-61P"
"ENSG00000259942",71.1697598286593,-2.19088997398682,0.693715460610208,-3.15819683773468,0.00158748329028962,0.0236310735338839,NA,NA,NA
"ENSG00000217897",1.60982348120299,-2.171577357369,0.846868108076646,-2.56424505381476,0.0103400511714523,0.0834873834426945,"HSPE1P8",NA,"HSPE1P8"
"ENSG00000261265",9.5965492061534,-2.16882824338711,0.450323354689163,-4.81615759165801,1.46348957719466e-06,0.000176830669041423,"CTD-2515H24.4",NA,"CTD-2515H24.4"
"ENSG00000196468",7.79517794641125,-2.16786412388894,0.792300149374235,-2.73616523435107,0.00621598052110256,0.0600856876563193,"FGF16",8823,"FGF16"
"ENSG00000132872",18.585942461002,-2.16716545802832,0.729293136404448,-2.97159722181515,0.00296255059073114,0.0363345792921431,"SYT4",6860,"SYT4"
"ENSG00000118113",17.6580806921187,-2.16601625459546,0.801745892828615,-2.70162438494521,0.00690016653502368,0.0642453241411891,"MMP8",4317,"MMP8"
"ENSG00000113296",985.599706706056,-2.15880491024233,0.48884687243122,-4.41611684965024,1.00489776915119e-05,0.000661178069978413,"THBS4",7060,"THBS4"
"ENSG00000120332",268.61114027023,-2.1527287427034,0.515771017899756,-4.173807112058,2.99551396283526e-05,0.00137144745896862,"TNN",63923,"TNN"
"ENSG00000006071",1204.22182812209,-2.14660844140276,0.562326907900767,-3.81736746231173,0.000134883203498441,0.00400162513946076,"ABCC8",6833,"ABCC8"
"ENSG00000226627",5.60395762799419,-2.14095548065145,0.866331386042557,-2.47128929546399,0.0134626860534301,0.0985422023905956,"SHANK2-AS1",100874198,"SHANK2-AS1"
"ENSG00000226574",2.56473524605316,-2.09786586525805,0.772602457490525,-2.71532383170523,0.0066210992488032,0.0624920326931989,NA,NA,NA
"ENSG00000259719",2.45430140624095,-2.09501203235859,0.824855037866109,-2.53985480621948,0.0110898496746546,0.0870257803252516,"RP11-930O11.1",NA,"RP11-930O11.1"
"ENSG00000205177",7.46638656764071,-2.08839276449531,0.715774194767448,-2.91766981788694,0.00352657560555156,0.0410113317082367,"C11orf91",100131378,"C11orf91"
"ENSG00000169035",29.8144974366995,-2.0743523222097,0.726250621780269,-2.8562486006894,0.00428679338185617,0.0467661674465724,"KLK7",5650,"KLK7"
"ENSG00000181577",149.978914718746,-2.07067965954622,0.467242371091988,-4.43170351761304,9.34915118351755e-06,0.000626266217741149,"C6orf223",221416,"C6orf223"
"ENSG00000248323",254.714860539195,-2.06234833236986,0.680237882810039,-3.0318045855523,0.00243096524498566,0.0317796711811827,"LUCAT1",100505994,"LUCAT1"
"ENSG00000229900",4.15305521787737,-2.05763578357974,0.81457584477196,-2.52602111489787,0.011536254745606,0.0891350288381789,"HSPD1P21",NA,"HSPD1P21"
"ENSG00000124159",28.6761954953953,-2.05514718619035,0.733251495109083,-2.80278621986937,0.00506632394798169,0.0526883454344369,"MATN4",8785,"MATN4"
"ENSG00000164458",25.410555089929,-2.05457336219598,0.804997557811205,-2.55227278922731,0.010702268858267,0.0853184642852906,"T",6862,"T"
"ENSG00000234562",1.81582819302694,-2.04685267334855,0.803601158338437,-2.54710020276814,0.0108622238206576,0.0859543008785089,"TPMTP2",NA,"TPMTP2"
"ENSG00000167754",19.6522787043225,-2.03828632347644,0.754373343604745,-2.70195963412037,0.00689321305186985,0.0642007713242411,"KLK5",25818,"KLK5"
"ENSG00000259351",56.4573036729482,-2.03706050561175,0.460356146082241,-4.42496645900724,9.64572686534339e-06,0.000639790218969917,"RP11-111E14.1",101928988,"RP11-111E14.1"
"ENSG00000229569",3.23751692043762,-2.03486822431676,0.689781928634348,-2.95001672245235,0.00317756730383645,0.0381249302035794,"RP11-481G8.2",NA,"RP11-481G8.2"
"ENSG00000228879",1.60035583901205,-2.01994026672959,0.819522371355742,-2.4647774573719,0.013709837257959,0.0995880425744968,"RP11-439E19.6",NA,"RP11-439E19.6"
"ENSG00000269929",11.9200346174856,-2.01820963661906,0.666503434184271,-3.02805587054346,0.00246132576983249,0.0320048016658763,"RP11-2B6.2",NA,"RP11-2B6.2"
"ENSG00000171658",272.703198763094,-2.00490627804345,0.653191850920117,-3.06939879182393,0.0021449006624468,0.0291982615235516,"NMRAL1P1",NA,"NMRAL1P1"
"ENSG00000143125",9.69131859244199,-2.0026019434141,0.724884499868717,-2.76264969629891,0.00573342637850033,0.0570414274914778,"PROK1",84432,"PROK1"
"ENSG00000171951",134.997610227448,-2.00173203901215,0.552997782300004,-3.61978312225165,0.000294850041005137,0.00704109982266186,"SCG2",7857,"SCG2"
"ENSG00000259745",3.5943997108735,-2.00106471569545,0.782027907930879,-2.55881496734553,0.0105029627872845,0.0843885270572372,NA,NA,NA
"ENSG00000260612",3.75717235077028,-2.00043011438338,0.7792318068667,-2.5671823156541,0.0102528689543795,0.0830098288217854,"RP11-432I5.4",NA,"RP11-432I5.4"
"ENSG00000214289",5.38879616331756,-2.00039584395812,0.600380078312926,-3.33188244616519,0.0008626068499318,0.0152720434977981,"RPL39P5",NA,"RPL39P5"
