"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000170054",59.4935579030913,5.77202289140259,1.23307139251113,4.68101273491388,2.85461203872567e-06,0.000274158994006472,"SERPINA9",327657,"SERPINA9"
"ENSG00000211912",3.6351594112137,5.6296713720283,1.39946478465304,4.02273171412742,5.75270123076682e-05,0.00215875764309942,"IGHD2-21",NA,"IGHD2-21"
"ENSG00000226397",2.45172585542426,5.05029629416001,1.13308224294171,4.45713126793727,8.30637433882424e-06,0.000571942166102112,"C12orf77",NA,"C12orf77"
"ENSG00000187772",3.15552814077903,4.95065149125347,1.32089191874067,3.74796107161698,0.000178277914953705,0.00490562500552908,"LIN28B",389421,"LIN28B"
"ENSG00000160505",15.9019629993585,4.94996241147298,0.969426599068874,5.10607241046138,3.28923690632825e-07,7.32238543778699e-05,"NLRP4",147945,"NLRP4"
"ENSG00000211672",31.5030571396021,4.92262765476305,1.11639864699548,4.40938160218227,1.03666215482588e-05,0.000674244218087562,"IGLV4-3",NA,"IGLV4-3"
"ENSG00000259785",3.81153700801344,4.84000708457482,0.899587638314934,5.38025077094311,7.43821508989922e-08,3.28702496092143e-05,NA,NA,NA
"ENSG00000261030",2.55287465698907,4.79546190844803,1.16975756092243,4.09953486829055,4.13981299041339e-05,0.00172092456751938,"RP11-791M20.1",NA,"RP11-791M20.1"
"ENSG00000267521",6.5272142466581,4.69037320999931,1.06907377204669,4.38732417971475,1.14753689147174e-05,0.000715289942793587,"RP11-87G24.6",NA,"RP11-87G24.6"
"ENSG00000211725",4.77801156112184,4.55589119132733,0.955062678300825,4.77025361249884,1.8399411648128e-06,0.000203272305999169,"TRBV5-5",NA,"TRBV5-5"
"ENSG00000253329",3.23865402667866,4.52360497618868,1.30581870580705,3.46419066909667,0.000531829405115741,0.0107440791262031,"IGLV3-30",NA,"IGLV3-30"
"ENSG00000254289",3.15781239180471,4.45808618439036,1.23632791793067,3.60590917646847,0.00031106192602887,0.00733143761237168,"IGHV3-32",NA,"IGHV3-32"
"ENSG00000253239",38.6356661112847,4.45507430980498,1.24860244135267,3.56804869368875,0.000359649676919428,0.00809939966413604,"IGLVI-70",NA,"IGLVI-70"
"ENSG00000254799",1.70857708566163,4.42715650073448,1.31152171691013,3.37558764269996,0.000736582273207888,0.0136002027876157,"SLC25A47P1",NA,"SLC25A47P1"
"ENSG00000127074",134.013491020834,4.41927737048262,0.700724119983768,6.30672934533064,2.84993555488245e-10,1.83484998901387e-06,"RGS13",6003,"RGS13"
"ENSG00000227217",3.77432791897352,4.40862348927834,1.03360040633031,4.26530742662022,1.99627134059755e-05,0.00104426858396488,"RP11-367J7.3",NA,"RP11-367J7.3"
"ENSG00000233577",3.10344889247493,4.38657673737934,1.44741690215874,3.03062423192447,0.00244048765608988,0.031864312145459,"RP3-462D8.2",NA,"RP3-462D8.2"
"ENSG00000249667",1.99517416554701,4.30091170978974,1.15089509608011,3.73701454149769,0.000186218158062276,0.00508161034461553,"LINC01259",NA,"LINC01259"
"ENSG00000158639",2.10243185755977,4.23102554728173,1.14825762944324,3.68473541023478,0.000228940342796276,0.00582342411470114,"PAGE5",90737,"PAGE5"
"ENSG00000272218",2.18037558453297,4.20591010155326,1.01406088271238,4.14759130665156,3.35991487998282e-05,0.00148036249652577,"RP11-11N5.3",NA,"RP11-11N5.3"
"ENSG00000229979",6.38447460781127,4.14536863076425,1.00023389938615,4.14439925832176,3.40705692906784e-05,0.00149446135638283,"U82670.9",NA,"U82670.9"
"ENSG00000248302",11.5412279208601,4.13613887843032,0.930611507789113,4.44453871869336,8.80806450091627e-06,0.000598140306750295,"BNIP3P41",NA,"BNIP3P41"
"ENSG00000211931",6.00084603799621,4.1338769640565,1.12507265130329,3.67432001770533,0.000238483680280991,0.00598367860281662,"IGHD2-2",NA,"IGHD2-2"
"ENSG00000163518",35.8748891325771,4.12932108351539,0.948996065546996,4.35125205828464,1.35362332133299e-05,0.000792056903123067,"FCRL4",83417,"FCRL4"
"ENSG00000263958",2.43996759530089,4.10586674005466,0.998917576409135,4.11031584288891,3.9511829281485e-05,0.00166647612730229,"RP11-676J15.1",100505797,"RP11-676J15.1"
"ENSG00000197520",92.3854006659676,4.08158605073602,0.693424044703565,5.88613285321088,3.95336567937928e-09,5.5738690969077e-06,"FAM177B",400823,"FAM177B"
"ENSG00000253338",4.76610496086634,4.07597088266913,1.25558573827235,3.24627045244839,0.00116927700858679,0.0190219525660646,"IGLV3-29",NA,"IGLV3-29"
"ENSG00000150165",6.32840534153199,4.04890901098588,1.08803188944881,3.7213146510228,0.000198188306488553,0.00530077631301993,NA,NA,NA
"ENSG00000211678",334.124017274889,4.04513700792555,0.940916147520023,4.2991471860562,1.71456583008595e-05,0.000929759434014374,"IGLJ3",NA,"IGLJ3"
