"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000179914",20.0272523179086,-3.73724370052615,0.717457555327739,-5.20901016760352,1.89850710924652e-07,0.0012595645416296,"ITLN1",55600,"ITLN1"
"ENSG00000137673",41.815629337661,-2.7855930474525,0.818862718654776,-3.40178272131947,0.000669478414819681,0.082635433360394,"MMP7",4316,"MMP7"
"ENSG00000242610",4.21415503051407,-2.45071158402776,0.717628040684931,-3.41501647801932,0.000637781530950718,0.080597363182715,"OR5BH1P",NA,"OR5BH1P"
"ENSG00000182347",4.02867384179819,-2.24092805005908,0.655002338609927,-3.42125198333622,0.000623335495032305,0.0795292181113813,"PDSS1P1",NA,"PDSS1P1"
"ENSG00000178445",601.862576297678,-2.20347837583449,0.592971823279492,-3.71599170370006,0.000202408223668924,0.0459103370916744,"GLDC",2731,"GLDC"
"ENSG00000245719",8.31481481552895,-2.14508663182456,0.58447712094439,-3.67009512426861,0.000242460223993941,0.0484322194406084,"RP11-34F13.2",101929076,"RP11-34F13.2"
"ENSG00000224939",7.54679104407294,-2.04982846782286,0.562304968003259,-3.64540344557472,0.000266972639473194,0.050262009074462,"LINC00184",100302691,"LINC00184"
"ENSG00000152092",29.688465936811,-1.87437825162816,0.508440705792198,-3.68652279464466,0.000227339087328766,0.0469882081256674,"ASTN1",460,"ASTN1"
"ENSG00000180509",55.2945348328091,-1.77800274826029,0.535415073001328,-3.32079322738058,0.000897620120453099,0.0976272244122309,"KCNE1",3753,"KCNE1"
"ENSG00000170558",196.451477585104,-1.59053907112067,0.478131819922879,-3.32657021525408,0.000879218656530069,0.0960193609341357,"CDH2",1000,"CDH2"
"ENSG00000101447",122.82934126412,-1.46664922992053,0.419683836062248,-3.49465265015115,0.000474679077410907,0.0684621378061449,"FAM83D",81610,"FAM83D"
"ENSG00000168484",285.987410879774,-1.3701413791091,0.384461908068275,-3.56378967683265,0.000365538883673692,0.0587809766972863,"SFTPC",6440,"SFTPC"
"ENSG00000250986",26.7348052729539,-1.34479982696226,0.390860284592289,-3.44061517625162,0.000580393357696755,0.0772188032468978,"AC141928.1",NA,"AC141928.1"
"ENSG00000179111",40.2988001491428,-1.32866446270727,0.339595593416989,-3.91249029275773,9.1349211275707e-05,0.0310798124209579,"HES7",84667,"HES7"
"ENSG00000108813",38.9911599993003,-1.25208857073908,0.372478623569075,-3.36150450391386,0.000775190923761283,0.0897308289050503,"DLX4",1748,"DLX4"
"ENSG00000113303",81.5826879583752,-1.2261286135741,0.365943118492763,-3.35059890898958,0.000806370061513452,0.091072900540187,"BTNL8",79908,"BTNL8"
"ENSG00000223969",27.7584060355689,-1.20206528565035,0.341407497397506,-3.52091062678323,0.0004300675424256,0.0641187215780369,"AC002456.2",NA,"AC002456.2"
"ENSG00000219435",38.4402519696742,-1.05424143979221,0.314645946296582,-3.35056418873577,0.000806471159354283,0.091072900540187,"TEX40",NA,"TEX40"
"ENSG00000267730",25.371658555446,-0.972599902644605,0.289044022478308,-3.36488502445193,0.000765755613822703,0.0894684650190951,NA,NA,NA
"ENSG00000272861",19.5234013355548,-0.843278731661635,0.245180404748505,-3.4394214028916,0.000582959030728011,0.0772188032468978,"RP11-332H14.1",NA,"RP11-332H14.1"
"ENSG00000263400",91.4062496443593,-0.825326930088688,0.238790581671711,-3.45627923978738,0.000547687626031856,0.0749202794826463,"TMEM220-AS1",101101775,"TMEM220-AS1"
"ENSG00000272121",64.1517147597694,-0.761502390878076,0.165905351861496,-4.58998086760823,4.4328663979067e-06,0.0062907126538239,"RP4-555D20.4",NA,"RP4-555D20.4"
"ENSG00000233483",51.4725879161331,-0.741150963984056,0.218988558663826,-3.38442779159898,0.000713267772706469,0.0866236203889256,"CTD-2020K17.4",NA,"CTD-2020K17.4"
"ENSG00000235927",54.1387716229701,-0.727986469172763,0.215886439074323,-3.37208058224602,0.000746026174309748,0.0885221313822366,"NEXN-AS1",374987,"NEXN-AS1"
"ENSG00000272288",132.304772609993,-0.712734380482211,0.20789878711867,-3.42827579881636,0.000607428026597746,0.0787231570614474,"RP11-140K17.3",101929243,"RP11-140K17.3"
"ENSG00000169750",422.494275526711,-0.674631994958414,0.198016253566094,-3.40695262539767,0.00065692528243582,0.0814648745106625,"RAC3",5881,"RAC3"
"ENSG00000169738",2842.23841993902,-0.588110500346046,0.166778361244132,-3.52629979068546,0.000421409651420167,0.0632065946854211,"DCXR",51181,"DCXR"
"ENSG00000116985",723.915943213422,-0.53763322445644,0.145518496428906,-3.69460403763246,0.000220229709037268,0.0467386373347053,"BMP8B",656,"BMP8B"
