"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","T cell activation","110/880","464/18670",4.04849109895112e-47,1.92667691399084e-43,1.63899965963853e-43,"PLA2G2D/TNFSF11/BTLA/IRF4/MYB/TIGIT/TREML2/IL23R/CLECL1/CTLA4/SIRPG/GPR18/LAX1/CD28/RHOH/SIT1/SLAMF6/CCL19/LY9/AIRE/EOMES/CARD11/ICOS/LCK/CD1C/ITGAL/TESPA1/CORO1A/IL12RB1/CD6/SASH3/TNFRSF18/CD3D/CD3G/CAMK4/CCDC88B/RAC2/CD70/CD40LG/CD3E/CD5/FUT7/LILRB1/CD2/TNFSF8/ITK/HHLA2/ZAP70/IL7R/PTPRC/CCR9/CD27/DOCK2/IFNG/VAV1/THEMIS/PDCD1/TNFSF9/WNT1/GRAP2/WAS/RUNX3/RASGRP1/LAG3/ZNF683/RIPOR2/CCR7/RASAL3/KLRC4-KLRK1/CD8B/JAML/TMIGD2/LCP1/PTPN22/BATF/BCL11B/IL12B/SLA2/FOXN1/NCKAP1L/FOXP3/CD7/TBX21/EBI3/NLRC3/CCR6/IL2/HLA-DOA/NOD2/CR1/JAK3/APBB1IP/TCF7/IFNL1/P2RX7/CD83/BTN3A1/CD8A/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/TNFAIP8L2/PIK3CG/FANCA/PIK3CD/SIRPB1",110
"GO:0030098","lymphocyte differentiation","85/880","353/18670",5.68815034815222e-37,1.35349537534282e-33,1.15140138099966e-33,"MS4A1/CD19/CR2/CD79A/PLA2G2D/AICDA/FCRL3/IRF4/MYB/IL23R/CTLA4/CD79B/GPR18/CD28/RHOH/POU2F2/SLAMF6/CCL19/LY9/C17orf99/AIRE/BTK/EOMES/CARD11/IKZF3/LCK/TESPA1/IL12RB1/SASH3/TNFRSF18/CD3D/CD3G/IKZF1/CAMK4/CD40LG/CD3E/FUT7/CD2/TNFSF8/ITK/ZAP70/IL7R/ITGA4/PTPRC/CCR9/CD27/DOCK2/IFNG/VAV1/FLT3/THEMIS/TNFSF9/WNT1/RUNX3/RASGRP1/LAG3/ZNF683/CCR7/PTPN22/BATF/BCL11B/IL12B/FOXN1/NCKAP1L/FOXP3/INPP5D/PGLYRP2/TBX21/CCR6/IL2/HLA-DOA/TOX/CR1/JAK3/TCF7/IFNL1/CD83/CD8A/CD86/CCR2/DOCK10/PGLYRP4/FCGR2B/FANCA/PIK3CD",85
"GO:0050863","regulation of T cell activation","76/880","314/18670",2.80322011033824e-33,4.44684150169989e-30,3.78287176995118e-30,"PLA2G2D/TNFSF11/BTLA/IRF4/MYB/TIGIT/IL23R/CLECL1/CTLA4/SIRPG/LAX1/CD28/SIT1/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/TNFRSF18/CAMK4/CCDC88B/RAC2/CD70/CD40LG/CD3E/CD5/LILRB1/CD2/TNFSF8/HHLA2/ZAP70/IL7R/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/RASGRP1/LAG3/ZNF683/RIPOR2/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/PTPN22/IL12B/FOXN1/NCKAP1L/FOXP3/TBX21/EBI3/IL2/HLA-DOA/NOD2/CR1/JAK3/IFNL1/CD83/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/TNFAIP8L2/FANCA/SIRPB1",76
"GO:0051249","regulation of lymphocyte activation","92/880","485/18670",3.16990975168376e-31,3.77140012706575e-28,3.20828234341467e-28,"CD19/PLA2G2D/IGLL5/TNFRSF13B/FCRL3/TNFSF11/BTLA/MZB1/IRF4/MYB/TIGIT/IL23R/CLECL1/CTLA4/SIRPG/LAX1/CD28/SIT1/CCL19/BTK/CARD11/ICOS/IKZF3/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/TNFRSF18/CAMK4/CCDC88B/RAC2/CD70/CD40LG/CD3E/CD5/LILRB1/CD2/TNFSF8/HHLA2/ZAP70/IL7R/PTPRC/CD27/IFNG/VAV1/IGLL1/PDCD1/TNFSF9/GRAP2/RUNX3/RASGRP1/LAG3/WNT3A/ZNF683/RIPOR2/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/PTPN22/IL12B/SLA2/FOXN1/NCKAP1L/FOXP3/INPP5D/PGLYRP2/TBX21/EBI3/IL2/HLA-DOA/TOX/NOD2/CR1/JAK3/IFNL1/CD83/LST1/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/PGLYRP4/FCGR2B/LGALS9C/TNFAIP8L2/FANCA/SIRPB1/TAC1",92
"GO:0007159","leukocyte cell-cell adhesion","76/880","337/18670",4.56951051116579e-31,4.34926010452759e-28,3.69986051072497e-28,"PLA2G2D/TNFSF11/BTLA/MYB/TIGIT/IL23R/CLECL1/CTLA4/SIRPG/LAX1/CD28/TNF/CCL19/CARD11/ICOS/SELL/LCK/ITGAL/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/ITGA4/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/SKAP1/RASGRP1/LAG3/RIPOR2/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/ITGB7/MADCAM1/TBX21/EBI3/IL2/ADTRP/NOD2/JAK3/IFNL1/SELPLG/CD83/DOCK8/CD86/XCL1/CCR2/CCL25/HLA-DPB1/FCGR2B/LGALS9C/TNFAIP8L2/ITGB2/SIRPB1",76
"GO:0030217","T cell differentiation","64/880","240/18670",8.7860310507124e-31,6.96878696172338e-28,5.92825884579647e-28,"PLA2G2D/IRF4/MYB/IL23R/CTLA4/GPR18/CD28/RHOH/SLAMF6/CCL19/LY9/AIRE/EOMES/CARD11/LCK/TESPA1/IL12RB1/SASH3/TNFRSF18/CD3D/CD3G/CAMK4/CD3E/FUT7/CD2/TNFSF8/ITK/ZAP70/IL7R/PTPRC/CCR9/CD27/DOCK2/IFNG/VAV1/THEMIS/TNFSF9/WNT1/RUNX3/RASGRP1/LAG3/ZNF683/CCR7/PTPN22/BATF/BCL11B/IL12B/FOXN1/NCKAP1L/FOXP3/TBX21/CCR6/IL2/HLA-DOA/CR1/JAK3/TCF7/IFNL1/CD83/CD8A/CD86/CCR2/FANCA/PIK3CD",64
"GO:1903037","regulation of leukocyte cell-cell adhesion","70/880","304/18670",2.8676097935337e-29,1.94956500106098e-26,1.65847026555348e-26,"PLA2G2D/TNFSF11/BTLA/MYB/TIGIT/IL23R/CLECL1/CTLA4/SIRPG/LAX1/CD28/TNF/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/ITGA4/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/SKAP1/RASGRP1/LAG3/RIPOR2/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/TBX21/EBI3/IL2/ADTRP/NOD2/JAK3/IFNL1/CD83/DOCK8/CD86/XCL1/CCR2/CCL25/HLA-DPB1/FCGR2B/LGALS9C/TNFAIP8L2/ITGB2/SIRPB1",70
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","57/880","218/18670",4.83171420324613e-27,2.87426598665604e-24,2.44510168759008e-24,"TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/TNF/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/ITGA4/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/SKAP1/RASGRP1/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/NOD2/JAK3/CD83/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/ITGB2/SIRPB1",57
"GO:0022409","positive regulation of cell-cell adhesion","60/880","255/18670",9.37587627256567e-26,4.95775502012667e-23,4.21749943208042e-23,"CXCL13/TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/TNF/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/ITGA4/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/SKAP1/RASGRP1/WNT3A/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/IL12B/NCKAP1L/FOXP3/ALOX15/EBI3/IL2/NOD2/JAK3/CD83/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/ITGB2/SIRPB1",60
"GO:0050870","positive regulation of T cell activation","53/880","202/18670",2.6685528898189e-25,1.26996432026482e-22,1.08034256992037e-22,"TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/RASGRP1/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/NOD2/JAK3/CD83/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/SIRPB1",53
